Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,IL,2017,"9         ",Female,14,Right-Handed,158,21,157,2,Car,8,0.334,35,None,650,650,800,700,700,850,21,"Same length",78,79,"Ring finger",August,Spring,No,No,"No favorite",Water,History,8,10,4,"Yes - broadband connection","In person",15,12,2,1,15,4,0,8,2,4,30,0,0,1,Some,"Graduate degree",Pop,Telepathy,Happy,Relative,"International aid"
USA,IL,2016,"9         ",Female,14,Right-Handed,179,23,23,1,Car,14,0.467,35,Lacrosse,422,759,807,32,946,1000,23,"Same length",8,8,"Same length",July,Summer,No,No,Salads,Water,Art,7,10,5,"Yes - broadband connection","Text messaging",175,300,58,0,63,5,48,73,98,29,90,76,0,2,"A lot","Graduate degree",Country,Invisibility,Happy,Actor,Health
USA,IL,2017,"9         ",Female,15,Right-Handed,158,23.5,154,2,Car,7,.66,59,Other,1000,1000,1000,1000,700,700,22,"Right foot",57,63,"Ring finger",October,Spring,No,No,Desserts,Water,Languages,7,6,4,"Yes - broadband connection","In person",30,35,4,0,1,2,0,2,2,.5,2,0,0,1,Some,"Graduate degree",Other,"Freeze time",Famous,"Musician or singer","Arts, culture, sports"
USA,IL,2015,"12        ",Female,17,Right-Handed,173,23,164,2,Car,15,.338,31,Baseball/Softball,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,IL,2016,"9         ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,25,10,12,,,,,,,,"A lot","Graduate degree",Country,"Freeze time",Happy,Relative,"Wildlife, animals"
USA,IL,2015,"12        ",Female,16,Right-Handed,161,22.5,163,1,Car,13,0.732,56,Dancing,497,492,765,631,497,1000,23,"Left foot",110,65,"Index finger",November,Fall,No,No,Pizza/Pasta,Water,"Mathematics and statistics",5,8,4,"Yes - other","Text messaging",50,50,4,1,12,4,20,0,,8,10,7,0,1,"A lot","Graduate degree",Pop,"Freeze time",Happy,Actor,"International aid"
USA,IL,2012,"11        ",Female,17,Right-Handed,163,18,154,1,Car,10,.367,42,Tennis,428,610,348,540,738,765,22,"Same length",60,70,"Ring finger",March,Fall,Yes,No,Pizza/Pasta,Tea,History,7,7,3,"Yes - broadband connection","Text messaging",70,80,10,3,16,30,9,0,10,20,20,10,5,20,"A lot","Graduate degree",Jazz,Fly,Healthy,"Community leader or elder","Arts, culture, sports"
USA,IL,2019,"10        ",Female,15,Right-Handed,149.9,21.6,148,2,Car,15-20,0.303,38,Dancing,800,500,800,1000,200,400,21.6,"Same length",60,65,"Ring finger",July,Spring,Yes,No,Meat,"Soft drink (caffeinated)",Languages,6,3-10,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",25,20,21,1,30,15,35,4,12,30,40,25,0,12,Some,"Graduate degree","Rap/Hip hop","Freeze time",Happy,Relative,"International aid"
USA,IL,2017,"9         ",Female,15,Right-Handed,155,22,160,2,Car,7,0.401,38,Other,1000,9050,1000,1000,7000,8000,22,"Same length",709,70,"Same length",December,Winter,Yes,No,Other,Water,"Mathematics and statistics",6,10,7,"Yes - other","Myspace, Facebook, other social networking sites, or blog",23,20,3,,,,,,,,,,,,"A lot",,,Telepathy,,,
USA,IL,2017,"12        ",Female,17,Ambidextrous,160,21.5,155,2,Walk,7,0.384,54,Soccer,1000,600,750,675,650,650,22,"Left foot",70,75,"Ring finger",December,Winter,No,No,Seafood,Water,Science,5,8,4,"Yes - other","Text messaging",200,200,8,1,21,10,7,10,20,15,20,10,8,2,"A lot","Graduate degree",Other,"Freeze time",Happy,Relative,Environment
USA,IL,2018,"12        ",Female,17,Right-Handed,168,24,160,1,Car,12,0.299,39,Running/Jogging,800,700,900,950,500,600,25,"Left foot",90,85,"Index finger",February,Summer,No,No,Fruit,Water,Science,8,8,2,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",7,10,14,2,7,3,7,0,10,2,5,2,16,1,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Healthy,Actor,"Wildlife, animals"
USA,IL,2017,"9         ",Male,14,Right-Handed,160,24,140,2,Car,3,0.43,39,Walking/Hiking,1000,750,500,500,1000,1000,24,"Same length",75,75,"Same length",May,Fall,Yes,No,"No favorite",Water,History,9,6,6,"Yes - broadband connection","Text messaging",20,20,0,0,5,50,5,50,1,5,50,5,0,5,Some,"Some college","Heavy metal",Fly,Happy,Relative,Environment
